Protein	ctrl_CS52684_pos_SWATH-CS52684	ctrl_CS53088_pos_SWATH-CS53088	ctrl_CS53236_pos_SWATH-CS53236	ctrl_CS53827_pos_SWATH-CS53827	ctrl_CS53970_pos_SWATH-CS53970	ctrl_CS55606_pos_SWATH-CS55606	ctrl_CS55847_pos_SWATH-CS55847	ctrl_CS56148_pos_SWATH-CS56148	ctrl_CS56182_pos_SWATH-CS56182	ctrl_CS56422_pos_SWATH-CS56422	ctrl_CS56891_pos_SWATH-CS56891	ctrl_CS57315_pos_SWATH-CS57315_pos_SWATH	ctrl_CS58504_pos_SWATH-CS58504	ctrl_CS60089_pos_SWATH_2-CS60089_pos_SWATH	ctrl_CS60106_pos_SWATH-CS60106_pos_SWATH	ctrl_CS60365_pos_SWATH-CS60365	ctrl_CS60557_pos_SWATH-CS60557	ctrl_CS60976_pos_SWATH-CS60976	ctrl_CS61323_pos_SWATH-CS61323	ctrl_CS61791_pos_SWATH-CS61791	PCV_PH697021_pos_SWATH-PH697021	PCV_PH697025_pos_SWATH-PH697025	PCV_PH697026_pos_SWATH-PH697026	PCV_PH697043_pos_SWATH-PH697043	PCV_PH697053_pos_SWATH_2-PH697053	PCV_PH697071_pos_SWATH-PH697071	CNV_PH697072_pos_SWATH-PH697072	CNV_PH697073_pos_SWATH-PH697073	PCV_PH697085_pos_SWATH-PH697085_pos_SWATH	CNV_PH697097_pos_SWATH-PH697097	PCV_PH697098_pos_SWATH-PH697098	PCV_PH697111_pos_SWATH-PH697111	PCV_PH697115_pos_SWATH-PH697115_pos_SWATH	CNV_PH697119_pos_SWATH_2-PH697119	CNV_PH697122_pos_SWATH-PH697122	CNV_PH697129_pos_SWATH-PH697129	CNV_PH697140_pos_SWATH-PH697140_pos_SWATH	PCV_PH697141_pos_SWATH-PH697141	CNV_PH697146_pos_SWATH-PH697146_pos_SWATH	PCV_PH697154_pos_SWATH-PH697154_pos_SWATH	CNV_PH697159_pos_SWATH-PH697159	PCV_PH697165_pos_SWATH-PH697165_pos_SWATH	CNV_PH697172_pos_SWATH-PH697172	PCV_PH697182_pos_SWATH-PH697182	CNV_PH697184_pos_SWATH_2-PH697184	PCV_PH697186_pos_SWATH-PH697186	PCV_PH697187_pos_SWATH-PH697187	PCV_PH697206_pos_SWATH-PH697206_pos_SWATH	CNV_PH697211_pos_SWATH-PH697211	CNV_PH697215_pos_SWATH-PH697215	CNV_PH697217_pos_SWATH-PH697217	PCV_PH697247_pos_SWATH-PH697247_pos_SWATH	CNV_PH697253_pos_SWATH-PH697253	PCV_PH697257_pos_SWATH-PH697257	CNV_PH697272_pos_SWATH-PH697272	PCV_PH697285_pos_SWATH-PH697285	CNV_PH697287_pos_SWATH-PH697287_pos_SWATH	CNV_PH697289_pos_SWATH-PH697289	CNV_PH697291_pos_SWATH-PH697291	CNV_PH697338_pos_SWATH_2-PH697338	RT
1844_C32H51NO11_[M+H]+	65040.9	151409.0	292877.0	58557.4	188791.0	108381.0	70855.8	168400.0	8187.57	47960.3	154894.0	147591.0	166597.0	196600.0	9198.14	120204.0	159142.0	49074.7	125042.0	151136.0	250709.0	90091.3	75511.5	161200.0	168472.0	130441.0	106629.0	32626.8	30975.7	70240.4	61731.6	61346.6	72501.3	318423.0	46741.3	365809.0	64421.2	45290.9	91102.0	192912.0	23549.6	185668.0	247871.0	581425.0	77525.1	34708.2	73334.2	14640.6	230471.0	1252770.0	341934.0	66071.5	69667.5	119220.0	84770.5	590380.0	111706.0	148762.0	235870.0	13688.0	738.6773125
1846_C28H58NO7P_[M+H]+	43338.1	8058.65924002057	9035.64	1370.7	62330.4	8926.2	27775.8	3354.76	4081.73	9239.3	11256.1	15947.0	3464.78	16023.3	3273.59	3978.7	9618.58	14008.0	13153.3	4495.55	16220.0	59102.5	22850.3	1928.92	62634.8	25812.5	40845.8	7851.57	20316.5	15558.2	79641.3	22538.3	6443.03	2862.68	70130.8	3690.47	12029.0	30095.9	29823.8	6520.61	1447.73	32572.9	12863.2	20871.2	41706.9	14649.1	29619.7	25675.5	55986.5	7851.3	10186.7	17565.3	16719.2	6979.52	6481.5	16128.9	32372.8	62979.3	2032.47	70529.2	1042.8756250000001
1848_C41H80NO9P_[M+H]+	914780.0	2384190.0	1514900.0	1296480.0	1028600.0	884163.0	884289.0	1374130.0	1744000.0	2432480.0	2873250.0	2720830.0	3475620.0	795245.0	3188860.0	1732940.0	1090730.0	2942420.0	2582370.0	2080850.0	2229110.0	815500.0	2233240.0	2853390.0	2476690.0	1419680.0	1452030.0	925598.0	841345.0	3065460.0	810443.0	2714910.0	880340.0	533.6641094891249	2569610.0	1043340.0	2350400.0	2523950.0	1769170.0	2347710.0	2322310.0	660455.0	2682700.0	482445.0	389205.79874591104	776870.236320502	1233760.0	430558.0	260569.0	613007.0	954027.0	837133.3552127009	945220.1527336279	764514.0	692119.944414856	207183.0	265556.058934358	118794.0	979735.0	528356.0	901.475328125
184_C11H9NO2_[M+H]+	825050.0	5687.94414520265	766422.0	577558.0	534977.0	572945.0	772328.0	8775.02	770498.0	452577.0	621621.0	517995.0	644581.0	701714.0	1985.94	280.008243560791	758111.0	896793.0	725253.0	618252.0	335.989311218262	868616.0	485938.0	535629.0	692191.0	9005.32	1192.28	596965.0	733606.0	597981.0	6503.93	2926.5	902092.0	1033170.0	607069.0	1867.8311729431198	1321210.0	731381.0	722237.0	547887.0	767306.0	875147.0	737588.0	719154.0	690496.0	2015.91	880.872	844064.0	780304.0	533020.0	721052.0	1123500.0	751059.0	711989.0	781385.0	675283.0	999261.0	4918.12	659150.0	573085.0	287.508375
1850_C22H32O2_[M+H]+	11675.7	3572.21647273318	4626.3634257082	1787.20221844842	8964.88	6827.19	3618.58	4339.83	4275.05	7114.32	8692.34	4120.02	3706.36	2646.78	5433.48	3677.76	6151.49	5675.89	4886.78	5938.57	11599.8	9046.18	15553.0	4684.45	20859.2	12583.0	20606.3	5087.94	3189.52	9778.86	18267.6	7078.06	3790.01631164551	12234.3	11937.5	5663.28	8668.28	14362.8	13778.4	9209.81	6452.47	6693.05	7892.57	5583.55	16004.8	17429.3	11189.7	15206.8	7821.62	4757.65	7558.58	9778.94	7871.81	4105.91	3262.36	16298.4	18870.6	56.009578704834006	8938.02	5485.45	1015.5759375
1852_C24H50NO6P_[M+H]+	64566.4	330042.0	19749.2	398499.0	341642.0	19688.0	275748.0	307418.0	289212.0	478454.0	16600.7	378827.0	291439.0	398410.0	548039.0	384594.0	20607.3	26161.8	373723.0	346213.0	634310.0	35057.8	752912.0	343272.0	582311.0	39998.1	71161.7	530007.0	483523.0	761103.0	35181.9	617608.0	33028.3	333205.0	25754.9	20682.5	35364.9	41857.9	457453.0	462493.0	473007.0	571141.0	291009.0	24648.7	469570.0	331829.0	29812.9	45504.4	1009690.0	235533.0	22899.0	15909.6	58020.4	20876.4	452452.0	48805.8	19855.9	35109.3	30053.5	361708.0	913.3685156249999
1854_C18H35N5O2_[M+H]+	26460.6	20362.8	21949.3	17599.6	25890.6	14628.4	23026.1	28933.8	23824.7	22269.6	11212.2	22156.7	23881.8	15189.9	17991.7	24795.1	17343.5	21868.2	28733.6	17425.5	22192.7	18316.9	20993.1	22163.3	13920.0	19961.7	17891.0	19932.5	25414.6	26144.3	18842.3	22538.8	40728.6	18546.2	25252.7	26061.3	20297.8	17209.5	20449.1	16622.8	18525.7	21193.3	22147.8	17344.0	36681.4	20118.0	23357.5	21128.2	24224.7	28181.9	18055.2	15238.9	19557.0	18400.7	18315.6	26951.8	23127.1	21406.3	19989.5	25324.5	883.3071406250001
1856_C27H53O12P_[M+H]+	50470.3	6111.78	17624.8	17903.6	25625.7	650.057	13543.5	46468.6	3697.31	38473.5	2042.89	110.874	3822.31	1527.07	1845.99	19012.5	78355.3	473.417	10534.5	635.847	16407.5	3333.05	1959.83	47260.3	130549.0	910.39	1520.61	1449.09	707.216	17517.3	19006.3	13834.5	2040.28	48872.0	8721.36	14099.5	766.3489999999999	359.82800000000003	2263.13	326.64599999999996	1221.23	1885.8	3111.23	8919.12	55152.9	2018.55	1380.35	743.3510000000001	31077.4	23285.2	10829.3	761.423	51229.3	28.448	283.776	43049.7	4342.38	10240.9	13053.8	4176.27	1164.18921875
1858_C16H30O2_[M+H]+	2445.23	2079.54	7397.31	712.4189116314841	4235.05	1224.37684787688	1348.9675750732401	1124.2302829517998	2902.6	3246.43	5676.58	646.996334075919	1643.12922668457	2783.0337013432695	721.404139021772	1564.59148546674	449.00346374512606	2402.97	588.452202968901	1230.27	3516.44333053217	1619.46403509672	6290.87	706.022581453678	12111.0	3172.8637180596997	5934.57	4123.55	3772.28881366916	8439.92	16045.1	3826.23	2732.1	852.62	1942.8	1522.0106353759802	959.3636853930029	5108.48	5534.07	4621.97	3835.15	1288.42306787459	2741.5	5029.67977373365	19504.7	4248.53	4187.91	7694.11	1289.0792399124	2042.88	3205.56	4162.03246711293	4847.01	1516.9913607315302	4657.42	14334.6	6920.73	2921.88	9377.63	505.852338259353	1016.1914999999999
1860_C25H47NO6_[M+H]+	79324.5	55009.0	53288.1	65779.0	65572.6	52730.9	55599.3	49200.5	52665.4	53238.0	47613.4	70834.6	89160.5	82169.4	47191.0	51447.5	52498.6	56901.4	53032.6	47221.2	307707.0	73146.2	41275.0	47827.2	43841.8	54293.2	52194.7	35558.5	38345.5	59668.8	78455.5	43265.5	452626.0	52044.7	48712.5	111328.0	43438.9	99106.5	51339.5	49772.7	47171.2	174120.0	68853.5	71127.9	74252.6	52508.1	47575.8	62062.9	177726.0	134887.0	79068.4	48239.5	49901.9	46541.9	44120.5	49761.5	61825.3	44546.8	59966.1	37874.3	972.37728125
