Protein	ctrl_CS52684_pos_SWATH-CS52684	ctrl_CS53088_pos_SWATH-CS53088	ctrl_CS53236_pos_SWATH-CS53236	ctrl_CS53827_pos_SWATH-CS53827	ctrl_CS53970_pos_SWATH-CS53970	ctrl_CS55606_pos_SWATH-CS55606	ctrl_CS55847_pos_SWATH-CS55847	ctrl_CS56148_pos_SWATH-CS56148	ctrl_CS56182_pos_SWATH-CS56182	ctrl_CS56422_pos_SWATH-CS56422	ctrl_CS56891_pos_SWATH-CS56891	ctrl_CS57315_pos_SWATH-CS57315_pos_SWATH	ctrl_CS58504_pos_SWATH-CS58504	ctrl_CS60089_pos_SWATH_2-CS60089_pos_SWATH	ctrl_CS60106_pos_SWATH-CS60106_pos_SWATH	ctrl_CS60365_pos_SWATH-CS60365	ctrl_CS60557_pos_SWATH-CS60557	ctrl_CS60976_pos_SWATH-CS60976	ctrl_CS61323_pos_SWATH-CS61323	ctrl_CS61791_pos_SWATH-CS61791	PCV_PH697021_pos_SWATH-PH697021	PCV_PH697025_pos_SWATH-PH697025	PCV_PH697026_pos_SWATH-PH697026	PCV_PH697043_pos_SWATH-PH697043	PCV_PH697053_pos_SWATH_2-PH697053	PCV_PH697071_pos_SWATH-PH697071	CNV_PH697072_pos_SWATH-PH697072	CNV_PH697073_pos_SWATH-PH697073	PCV_PH697085_pos_SWATH-PH697085_pos_SWATH	CNV_PH697097_pos_SWATH-PH697097	PCV_PH697098_pos_SWATH-PH697098	PCV_PH697111_pos_SWATH-PH697111	PCV_PH697115_pos_SWATH-PH697115_pos_SWATH	CNV_PH697119_pos_SWATH_2-PH697119	CNV_PH697122_pos_SWATH-PH697122	CNV_PH697129_pos_SWATH-PH697129	CNV_PH697140_pos_SWATH-PH697140_pos_SWATH	PCV_PH697141_pos_SWATH-PH697141	CNV_PH697146_pos_SWATH-PH697146_pos_SWATH	PCV_PH697154_pos_SWATH-PH697154_pos_SWATH	CNV_PH697159_pos_SWATH-PH697159	PCV_PH697165_pos_SWATH-PH697165_pos_SWATH	CNV_PH697172_pos_SWATH-PH697172	PCV_PH697182_pos_SWATH-PH697182	CNV_PH697184_pos_SWATH_2-PH697184	PCV_PH697186_pos_SWATH-PH697186	PCV_PH697187_pos_SWATH-PH697187	PCV_PH697206_pos_SWATH-PH697206_pos_SWATH	CNV_PH697211_pos_SWATH-PH697211	CNV_PH697215_pos_SWATH-PH697215	CNV_PH697217_pos_SWATH-PH697217	PCV_PH697247_pos_SWATH-PH697247_pos_SWATH	CNV_PH697253_pos_SWATH-PH697253	PCV_PH697257_pos_SWATH-PH697257	CNV_PH697272_pos_SWATH-PH697272	PCV_PH697285_pos_SWATH-PH697285	CNV_PH697287_pos_SWATH-PH697287_pos_SWATH	CNV_PH697289_pos_SWATH-PH697289	CNV_PH697291_pos_SWATH-PH697291	CNV_PH697338_pos_SWATH_2-PH697338	RT
834_C7H13NO2^M+H	67896.0	129727.0	68119.5	20283.4	60999.9	114156.0	77964.1	8310.81	59325.2	38963.4	96500.9	43666.3	158945.0	17236.5	103863.0	52797.6	56248.0	73794.1	28667.6	54562.9	48798.7	20314.1	25129.7	19847.5	45369.6	29012.5	27604.9	13736.0	58356.1	15563.6	123498.0	91364.5	46501.1	12999.0	215962.0	13968.5	9997.07	35701.4	95711.6	16457.6	73557.0	41403.5	24891.4	78322.9	18602.4	86211.1	76914.4	79964.2	129303.0	35557.2	83950.7	18131.3	142676.0	21127.1	24020.8	10228.8	33724.8	25850.9	14631.2	22783.7	50.1999765625
836_C7H13NO3S^M+H;C8H11NO3^M+Na;C10H9NO3^M+H	2046.12	3545.53	1935.75	3169.39	2281.23	624.225	2358.63	199.08	3360.94	227.416	3587.18	3592.51	4022.37	3728.23	4310.44	1219.54	993.9	6723.55	60.1222	1646.94	4135.24	6701.85	2197.74	1216.28	313.084	4068.48	6697.86	2331.63	6021.94	2048.72	3248.25	2601.2	3190.28	6477.89	113.568	2320.34	5502.44	3321.56	426.574	4045.35	3058.5	5090.71	7434.51	2753.09	5380.51	890.431	3116.13	1472.44	583.118	7752.74	2996.31	4199.64	4298.86	3963.71	8724.38	4179.05	5514.75	1779.58	4093.27	4713.08	364.909859375
838_C7H13NO3^M+Na;C9H11NO3^M+H	887122.0	1483850.0	590362.0	1035290.0	862946.0	587265.0	1255300.0	991109.0	1303680.0	863215.0	927289.0	1003000.0	940294.0	696682.0	850599.0	910716.0	1065900.0	1219800.0	1233070.0	873187.0	1635680.0	1159660.0	966190.0	936047.0	1226260.0	843630.0	1164400.0	905120.0	1252730.0	1082420.0	1140330.0	1277520.0	1009950.0	1192370.0	848099.0	1006990.0	1294820.0	763077.0	947770.0	805805.0	824992.0	1283290.0	1195960.0	885680.0	1414660.0	1181160.0	1002990.0	1320230.0	1273700.0	813371.0	930017.0	1196010.0	1053780.0	922467.0	909417.0	925170.0	1201180.0	1183000.0	1324160.0	1010120.0	93.06004999999999
840_C7H14O6^M+H;C11H12N2^M+Na;C8H18OS2^M+H;C8H10N4O2^M+H	1890130.0	659896.0	1030560.0	383176.0	841904.0	789205.0	1022310.0	1225240.0	947267.0	615907.0	9882.02	684690.0	1266210.0	803600.0	487172.0	1435670.0	454597.0	353169.0	573102.0	679982.0	966922.0	594140.0	1040410.0	409415.0	103550.0	410034.0	1051970.0	1416.69	863730.0	481382.0	1086050.0	808308.0	324524.0	119311.0	915371.0	267609.0	88291.5	611118.0	1063210.0	122264.0	1105810.0	1283190.0	277467.0	593101.0	2226.66	710039.0	686011.0	283734.0	563376.0	998577.0	886297.0	1336060.0	914850.0	1149250.0	445942.0	814818.0	1029060.0	379207.0	498559.0	447124.0	388.26054687500005
842_C7H15NO2^M+H	2317.35	875.702	2109.58	2205.51	3300.83	286.382	195.27200000000002	3691.12	1190.98	4367.94	3120.14	2642.36	3559.59	3324.18	7116.6	2362.37	14852.2	3959.17	6021.02	4423.31	7894.88	2266.68	3682.48	3247.19	5069.05	7941.54	2802.72	795.2710000000001	1880.99	3099.18	2765.3	3477.06	3248.08	4694.74	3542.86	4014.14	8146.14	2677.62	3072.4	2285.91	2837.46	767.081	5824.55	4786.81	3342.6	1608.88	2100.08	312.42	3111.83	2752.63	3267.73	2616.15	2493.11	4556.87	6134.12	2748.12	4001.99	4707.51	4596.33	2326.09	250.28273437500002
844_C7H15NO3Si^M+H;C11H11NO2^M+H	18195.4	59276.3	15162.9	32058.9	28964.2	56181.9	377171.0	34602.8	16944.6	38642.0	30959.2	1175010.0	27088.3	27043.8	34013.0	70370.4	1067710.0	36882.6	36765.2	35571.2	23690.3	31483.6	15570.5	19225.2	69282.2	11165.3	38236.9	2446.41	544778.0	49791.5	84504.8	15637.0	21630.4	15331.6	32071.6	20185.3	80826.4	37876.0	48955.3	132892.0	7342.83	41372.8	141593.0	34667.5	20764.1	20202.3	15849.7	10075.8	32804.1	24875.5	38099.8	8731.23	44470.7	20445.3	29957.6	89713.3	95891.5	19447.7	19940.6	79705.1	658.6789375000001
846_C7H15NO3^M+H	106317.0	64055.3	121037.0	81526.4	101845.0	129556.0	106832.0	123677.0	151081.0	147745.0	149432.0	132114.0	147060.0	151836.0	125037.0	96940.7	132602.0	175484.0	106011.0	157944.0	155015.0	99526.8	75717.9	129180.0	113498.0	113232.0	115847.0	114011.0	170523.0	88762.5	112221.0	119858.0	92253.4	109591.0	126961.0	107479.0	139963.0	133027.0	99059.5	133635.0	86799.6	104864.0	110262.0	95845.7	112494.0	123290.0	125178.0	111976.0	104307.0	123318.0	98179.3	105740.0	116518.0	174135.0	154593.0	104868.0	84334.0	84106.1	147612.0	109305.0	46.7602953125
848_C7H8N2O2^M+H	41540.4	50983.9	20313.7	60545.6	23813.1	22072.8	41886.3	51694.7	34120.3	52141.2	28675.6	42440.9	97927.6	31517.4	57107.1	116645.0	21950.9	81984.4	50739.8	103868.0	67545.6	30259.0	51708.2	24176.0	23594.1	108515.0	102908.0	131935.0	126038.0	23151.6	4310.71	37371.1	25874.6	35843.6	51952.9	58833.4	34807.8	27465.3	70589.9	65597.5	36226.2	85004.1	55153.0	75211.1	28431.6	32749.0	38380.2	54713.1	61753.0	95697.6	73122.9	29254.0	21849.6	37630.7	56211.9	142453.0	28868.4	28145.3	77465.5	65859.6	129.172328125
84_C12H19NO4^M+K;C10H15N3O5^M+Na;C15H15NO3^M+Na;C8H20NO6P^M+Na	34441.5	20540.4	33351.3	25617.7	32671.7	26662.0	30499.7	22996.6	28015.4	28911.0	31534.4	22248.1	12929.5	32935.3	42143.8	40597.9	31626.4	22582.0	17624.4	21691.5	26599.8	21400.5	34389.9	17895.6	21551.2	23393.3	21457.9	43889.2	30452.8	39704.5	35064.5	41049.3	45786.9	25028.3	43863.1	22846.8	22121.9	62151.9	16951.4	34858.3	32144.0	22327.7	39040.5	11047.1	23871.7	40854.9	50091.4	41246.0	30536.0	9434.81	21333.3	43830.1	51795.7	18596.0	14564.3	36286.0	33889.3	30142.0	29461.4	30563.1	43.671204687499994
850_C7H8O2^M+Na;C9H6O2^M+H	152587.0	233285.0	111580.0	170722.0	85590.3	113124.0	150706.0	5837.82	137227.0	76002.6	168303.0	188668.0	107531.0	98671.2	87936.8	150708.0	185993.0	195227.0	137965.0	147289.0	266350.0	153277.0	172565.0	13853.7	197128.0	119761.0	198921.0	153740.0	226246.0	136796.0	101597.0	39168.8	123084.0	111306.0	105525.0	122884.0	167916.0	141480.0	164569.0	164605.0	167818.0	194950.0	158336.0	84556.0	149242.0	125714.0	139948.0	232829.0	208904.0	134850.0	84019.1	255294.0	189199.0	145803.0	143374.0	173518.0	183950.0	204997.0	232810.0	138562.0	93.52964374999999
