Protein	ctrl_CS52684_pos_SWATH-CS52684	ctrl_CS53088_pos_SWATH-CS53088	ctrl_CS53236_pos_SWATH-CS53236	ctrl_CS53827_pos_SWATH-CS53827	ctrl_CS53970_pos_SWATH-CS53970	ctrl_CS55606_pos_SWATH-CS55606	ctrl_CS55847_pos_SWATH-CS55847	ctrl_CS56148_pos_SWATH-CS56148	ctrl_CS56182_pos_SWATH-CS56182	ctrl_CS56422_pos_SWATH-CS56422	ctrl_CS56891_pos_SWATH-CS56891	ctrl_CS57315_pos_SWATH-CS57315_pos_SWATH	ctrl_CS58504_pos_SWATH-CS58504	ctrl_CS60089_pos_SWATH_2-CS60089_pos_SWATH	ctrl_CS60106_pos_SWATH-CS60106_pos_SWATH	ctrl_CS60365_pos_SWATH-CS60365	ctrl_CS60557_pos_SWATH-CS60557	ctrl_CS60976_pos_SWATH-CS60976	ctrl_CS61323_pos_SWATH-CS61323	ctrl_CS61791_pos_SWATH-CS61791	PCV_PH697021_pos_SWATH-PH697021	PCV_PH697025_pos_SWATH-PH697025	PCV_PH697026_pos_SWATH-PH697026	PCV_PH697043_pos_SWATH-PH697043	PCV_PH697053_pos_SWATH_2-PH697053	PCV_PH697071_pos_SWATH-PH697071	CNV_PH697072_pos_SWATH-PH697072	CNV_PH697073_pos_SWATH-PH697073	PCV_PH697085_pos_SWATH-PH697085_pos_SWATH	CNV_PH697097_pos_SWATH-PH697097	PCV_PH697098_pos_SWATH-PH697098	PCV_PH697111_pos_SWATH-PH697111	PCV_PH697115_pos_SWATH-PH697115_pos_SWATH	CNV_PH697119_pos_SWATH_2-PH697119	CNV_PH697122_pos_SWATH-PH697122	CNV_PH697129_pos_SWATH-PH697129	CNV_PH697140_pos_SWATH-PH697140_pos_SWATH	PCV_PH697141_pos_SWATH-PH697141	CNV_PH697146_pos_SWATH-PH697146_pos_SWATH	PCV_PH697154_pos_SWATH-PH697154_pos_SWATH	CNV_PH697159_pos_SWATH-PH697159	PCV_PH697165_pos_SWATH-PH697165_pos_SWATH	CNV_PH697172_pos_SWATH-PH697172	PCV_PH697182_pos_SWATH-PH697182	CNV_PH697184_pos_SWATH_2-PH697184	PCV_PH697186_pos_SWATH-PH697186	PCV_PH697187_pos_SWATH-PH697187	PCV_PH697206_pos_SWATH-PH697206_pos_SWATH	CNV_PH697211_pos_SWATH-PH697211	CNV_PH697215_pos_SWATH-PH697215	CNV_PH697217_pos_SWATH-PH697217	PCV_PH697247_pos_SWATH-PH697247_pos_SWATH	CNV_PH697253_pos_SWATH-PH697253	PCV_PH697257_pos_SWATH-PH697257	CNV_PH697272_pos_SWATH-PH697272	PCV_PH697285_pos_SWATH-PH697285	CNV_PH697287_pos_SWATH-PH697287_pos_SWATH	CNV_PH697289_pos_SWATH-PH697289	CNV_PH697291_pos_SWATH-PH697291	CNV_PH697338_pos_SWATH_2-PH697338	RT
306_C9H17NO4_[M+H]+	23884.8	54271.3	69540.4	70157.8	36408.9	39562.0	27915.0	72410.8	57223.7	54810.2	82952.3	85373.0	123311.0	48531.8	62814.6	45723.2	77509.2	143420.0	77348.9	74818.0	83698.6	59934.3	113862.0	22223.9	51370.5	107306.0	84533.5	51142.2	92493.6	65290.3	128411.0	27524.2	54896.3	121302.0	29013.2	50257.2	72097.9	61195.2	78862.0	81808.7	32888.5	42717.0	40208.2	65209.3	61827.3	75103.2	25633.4	77476.9	58574.2	115145.0	31510.1	102896.0	75204.3	63673.8	147007.0	148258.0	77921.2	64175.5	167351.0	33188.7	68.07771875
308_C17H36NO5P_[M+H]+	0.0	263.627	433.67900000000003	433.774	113.792	112.00106811523399	168.00192260742202	56.000640869140604	519.124	964.878	1203.17	224.003398895264	747.2539999999999	718.153	56.000640869140604	112.002052307129	548.4730000000001	56.000640869140604	112.00128173828101	739.247	111.999961853027	333.957	56.8533	168.00192260742202	491.18800000000005	168.00192260742202	58.1966810039488	672.00609588623	28.448	56.000640869140604	470.135	504.715	121.184	6167.48	392.153	280.004318237305	631.506	612.242	394.00154876709	610.634	483.01599999999996	511.88699999999994	539.939	11257.9	10712.6	4336.06	112.00128173828101	4454.55	8384.78	5150.48	7101.47	8207.04	3719.89	6306.57	6804.01	10777.2	6187.12	7707.3	4212.29	4829.78	431.24707812500003
30_C11H22N2O4S_[M+H]+	1733.3	3812.42	1877.17	3128.78	4990.39	5470.88	8557.4	10520.1	5129.02	4029.71	9763.88	7137.75	8610.62	1757.45	2922.49	1801.7441154929102	4169.57	6578.6	7056.91	2978.96	3522.14	7450.06	167.996482849121	21085.4	9434.74	2314.32	725.548924021198	1026.24	4345.73	2699.04	5749.94	3078.72	392.00069427490195	11742.0	2022.41	6934.2	4866.34	3463.26	8536.56	7569.71	5025.08	10915.4	2839.56	1451.6351046862899	0.0	4259.09	3932.2712469661897	1817.97	171.39035939236402	15078.2	3996.33	8825.09	139.718409887637	2974.85	3819.59	995.207	1672.90637588501	1138.98975417192	12198.5	7504.08	261.66951562500003
310_C16H16N4O8S_[M+Na]+	10528.2	22228.3	8734.3	12853.5	13697.4	10273.3	14321.5	13432.0	15355.4	10538.3	12278.6	11832.2	9920.06	10613.9	7071.94	12165.8	8923.51	13067.7	15287.6	13305.9	23504.1	11902.4	20697.1	10981.2	13166.5	12344.9	11575.4	11938.8	7784.63	7099.67	17681.1	16348.6	18751.6	12890.9	15906.2	7066.85	20104.1	17619.6	10229.8	9007.82	11146.7	18369.8	17320.7	11700.5	10479.5	10269.0	16300.1	15861.4	12471.7	5166.82	17500.1	15466.6	9893.44	10861.5	6720.23	11082.1	15672.8	12341.8	14194.0	11171.6	39.072860937499996
311_C15H21NO4_[M+H]+	2317.56	4270.3	3946.96	4620.27	1901.06	1314.74	1812.07	1766.83	226.908	2778.71	1833.01	9199.17	8783.21	4729.51	26635.5	3301.06	8001.0	12854.9	12029.9	5307.26	10690.5	3997.36	7492.32	3345.48	669.0219999999999	2828.01	10806.5	3213.0	5261.73	8093.0	7024.29	1609.48	6987.04	4170.11	1136.68	9391.76	5381.6	2437.83	24643.5	13284.8	272.77	10518.3	5852.45	4377.81	1417.19	2371.86	7999.09	1601.58	5650.17	15879.5	3564.78	2738.95	2167.42	3079.83	2579.58	3728.72	16809.4	4209.51	8419.49	726.989582061768	402.45396875
313_C9H7NO_[M+H]+	803.6039999999999	8102.89	497.798527362296	1012.14500638754	3714.71	2584.0	2476.75	2336.08	950.677063506323	58591.9	5454.12	4142.35	20718.4	12563.7	1334.6	9788.12	18398.0	14888.5	2692.56	4009.59	8213.26	1174.9981918335	2042.79	3811.66	1832.75	112.00183868408199	578.84	836.968933105462	32748.2	52980.9	112.00128173828101	166.008674621582	7810.21	559.0044479370121	5632.42	76675.1	2768.97	1758.87	2296.19	387.92884897302804	224.006004333496	6132.78	9873.05	1760.22	5671.13	2383.58	1964.11	1006.99951171875	9000.39	36809.8	11807.2	0.0	10083.5	778.001317432953	6752.62	8220.18	17801.4	3651.11	14046.9	2866.88	430.35307812499997
316_C7H6O3_[M+H]+	711.056	56.000640869140604	112.00156021118201	0.0	2363.15	113.736	6043.88	4780.97	761.595	616.986682891846	112.00156021118201	2349.5	6666.47	168.00192260742202	9922.73	2063.14	910.164	4814.08	373.83	112.00128173828101	906.81	1119.01501083374	336.00506591796903	2215.2	112.00128173828101	1065.58308684658	531.004911422729	112.000923156738	227.192	371.532	728.008186340332	2373.18	168.001502990723	447.55	56.952	1736.08	458.42400000000004	338.957	2276.04	280.003974914551	1877.4	8007.92	139.32101031047702	168.004501342773	0.0	1935.1	672.003746032715	224.00434112548803	722.9119999999999	11849.5	939.76	280.00376129150396	3999.83	2452.94	256.032	224.003398895264	561.204411450559	223.52599999999998	857.58	168.00275802612302	405.26552604166665
318_C14H22ClN3O2_[M+H]+	168.00192260742202	56.000640869140604	112.00128173828101	56.000919342040994	56.000640869140604	560.006408691406	56.000640869140604	168.00192260742202	112.00128173828101	280.003204345703	336.00384521484403	336.00384521484403	280.003204345703	56.000640869140604	56.000640869140604	168.00192260742202	107.57	56.000640869140604	280.003204345703	392.004486083984	56.000640869140604	230086.0	197010.0	195927.0	112.00128173828101	305678.0	244942.0	337388.0	56.000640869140604	4138.17	0.0	112.00128173828101	0.0	7207.71	224.00148773193402	2079.64	112.000923156738	460138.0	260909.0	253447.0	1008.09	278979.0	272419.0	112.00128173828101	295304.0	217812.0	64627.4	261817.0	234841.0	55716.3	273016.0		29159.6	17178.2	212783.0	341780.0	2654.01	3890.34	392.006156921387	56.000919342040994	452.42731179511276
320_C12H25NO_[M+H]+	782.529	560.009864807129	336.002994537354	585.661660936134	479.77099999999996	564.123	812.0160000000001	888.633	820.2139999999999	831.6389999999999	1566.01205825806	366.124	138.372	997.95	256.06	1068.24	746.7860000000001	1100.17	648.846	1355.6	1429.34	426.569	970.041	661.885	36.0509	721.745	969.3510000000001	892.403	1303.45	817.0419999999999	804.085	820.868	1600.87	479.735	879.09	672.002765655518	1300.9	791.811	837.999877929688	1141.12	921.424	142.24	678.414	888.0160000000001	1010.06	803.551	943.946	804.304	588.439	280.006900787354	980.028	649.996	952.001556396484	1128.64	401.538	168.001750946045	532.575	532.344341796118	763.814	56.896	592.042578125
322_C21H31N3O5_[M+K]+	0.0	56.000640869140604	0.0	0.0	0.0	0.0	0.0	168.00192260742202		0.0		56.000640869140604	0.0	28.448	56.868	112.00128173828101	56.001766204834006		56.868	0.0	0.0	0.0	113.75399999999999	113.62700000000001	56.8862		18.5445	38.3978	113.624	113.736	224.005172729492	9.93021	269.499803543091	0.0	3149.71	56.000640869140604	181.942	56.924	65.3716	112.00156021118201	112.00128173828101	56.924	0.0	56.8315	0.0	113.838	123.62200000000001		123.697	0.0	112.00128173828101	56.896	56.000640869140604	162.091	28.476	0.0	0.0	279.996891021729	38.3965	56.896	596.4781302310957
