database_name	HMDB;LMSD
database_version	4.0;2020-09-08
45.057849229	C2H7N	HMDB:HMDB0000087	HMDB:HMDB0013231
46.005479308	CH2O2	HMDB:HMDB0000142
46.041864814	C2H6O	HMDB:HMDB0000108
47.000728281	HNO2	HMDB:HMDB0002786
47.947947053	Ti	HMDB:HMDB0001966
47.984743866	O3	HMDB:HMDB0035409
48.003370818	CH4S	HMDB:HMDB0003227
50.943963675	V	HMDB:HMDB0002503
51.940511904	Cr	HMDB:HMDB0000599
51.971592361	ClHO	HMDB:HMDB0001050	HMDB:HMDB0059650
54.010564686	C3H2O	HMDB:HMDB0006803
54.046950192	C4H6	HMDB:HMDB0041792
54.938049636	Mn	HMDB:HMDB0001333
55.042199165	C3H5N	HMDB:HMDB0061870
55.934942133	Fe	HMDB:HMDB0000692	HMDB:HMDB0015531
56.02621475	C3H4O	HMDB:HMDB0041822
57.057849229	C3H7N	HMDB:HMDB0168957
57.935347922	Ni	HMDB:HMDB0002457
57.975144695	CNS	HMDB:HMDB0001453
58.041864814	C3H6O	HMDB:HMDB0001659	HMDB:HMDB0003366	HMDB:HMDB0031558	HMDB:HMDB0031652	LMFA12000057
58.933200194	Co	HMDB:HMDB0000608
59.037113787	C2H5NO	HMDB:HMDB0001122	HMDB:HMDB0003656	HMDB:HMDB0031645
59.048347175	CH5N3	HMDB:HMDB0001842
59.073499293	C3H9N	HMDB:HMDB0000906	HMDB:HMDB0034006
59.966755777	O2Si	HMDB:HMDB0035659
60.021129372	C2H4O2	HMDB:HMDB0000042	HMDB:HMDB0003344	LMFA01010002
60.032362757	CH4N2O	HMDB:HMDB0000294	HMDB:HMDB0062508
60.057514878	C3H8O	HMDB:HMDB0000820	HMDB:HMDB0000863	LMFA05000101
60.068748266	C2H8N2	HMDB:HMDB0031225
61.016378345	CH3NO2	HMDB:HMDB0003551
61.052763851	C2H7NO	HMDB:HMDB0000149
61.987817871	NO3	HMDB:HMDB0002878
62.00039393	CH2O3	HMDB:HMDB0000595	HMDB:HMDB0003538	HMDB:HMDB0031453
62.017524428	BH3O3	HMDB:HMDB0035731
62.019020882	C2H6S	HMDB:HMDB0002303
62.036779436	C2H6O2	HMDB:HMDB0031430	HMDB:HMDB0037790
62.060040302	C2H8NO	HMDB:HMDB0062693
62.929601079	Cu	HMDB:HMDB0000657
62.995642896	HNO3	HMDB:HMDB0002179
63.929146578	Zn	HMDB:HMDB0015532
63.961899934	O2S	HMDB:HMDB0034834
64.966841334	ClNO	HMDB:HMDB0034825
66.046950192	C5H6	HMDB:HMDB0061878
66.9586819	ClO2	HMDB:HMDB0034826
67.042199165	C4H5N	HMDB:HMDB0031323	HMDB:HMDB0035924
68.02621475	C4H4O	HMDB:HMDB0006853	HMDB:HMDB0013785
68.037448138	C3H4N2	HMDB:HMDB0001525
68.9737834	ClH2O2	HMDB:HMDB0002077
69.057849229	C4H7N	HMDB:HMDB0012497	HMDB:HMDB0060246
70.005479308	C3H2O2	HMDB:HMDB0006804
70.041864814	C4H6O	HMDB:HMDB0034233	HMDB:HMDB0061873	HMDB:HMDB0061874	LMFA12000018
70.053098202	C3H6N2	HMDB:HMDB0004101
71.037113787	C3H5NO	HMDB:HMDB0004296
71.073499293	C4H9N	HMDB:HMDB0031641
71.949056008	GaH3	HMDB:HMDB0001478
72.021129372	C3H4O2	HMDB:HMDB0001167	HMDB:HMDB0006112	HMDB:HMDB0031647	LMFA01030193
72.057514878	C4H8O	HMDB:HMDB0000246	HMDB:HMDB0000474	HMDB:HMDB0003543	HMDB:HMDB0031243	HMDB:HMDB0031324	HMDB:HMDB0033858	HMDB:HMDB0034431	LMFA12000043
72.093900384	C5H12	LMFA11000583	HMDB:HMDB0029603
72.998619791	C2H3NS	HMDB:HMDB0034106
73.052763849	C3H7NO	HMDB:HMDB0001106	HMDB:HMDB0001888	HMDB:HMDB0002134	HMDB:HMDB0142435
73.063997239	C2H7N3	HMDB:HMDB0001522
73.089149357	C4H11N	HMDB:HMDB0031321	HMDB:HMDB0032179	HMDB:HMDB0034198	HMDB:HMDB0041878	HMDB:HMDB0143690
73.921178213	Ge	HMDB:HMDB0002501
74.00039393	C2H2O3	HMDB:HMDB0000119
74.019020882	C3H6S	HMDB:HMDB0031635	HMDB:HMDB0040345
74.036779436	C3H6O2	HMDB:HMDB0000237	HMDB:HMDB0003052	HMDB:HMDB0003453	HMDB:HMDB0006458	HMDB:HMDB0006961	HMDB:HMDB0031229	HMDB:HMDB0031523	LMFA01010003
74.048012824	C2H6N2O	HMDB:HMDB0031419	HMDB:HMDB0060428	HMDB:HMDB0062472
74.060040302	C3H8NO	HMDB:HMDB0062210
74.073164942	C4H10O	HMDB:HMDB0004327	HMDB:HMDB0006006	HMDB:HMDB0011469	HMDB:HMDB0031456	HMDB:HMDB0062326	LMFA05000100	LMFA05000109
74.08439833	C3H10N2	HMDB:HMDB0000002	HMDB:HMDB0013136
74.921596417	As	HMDB:HMDB0002290
74.977884349	CHNOS	HMDB:HMDB0012974
75.032028409	C2H5NO2	HMDB:HMDB0000123	HMDB:HMDB0014691	HMDB:HMDB0031239
75.068413914	C3H9NO	HMDB:HMDB0000925	HMDB:HMDB0012136	HMDB:HMDB0140038	HMDB:HMDB0142449
75.94414138	CS2	HMDB:HMDB0036574
75.99828544	C2H4OS	HMDB:HMDB0031188
76.009518828	CH4N2S	HMDB:HMDB0034155
76.016043994	C2H4O3	HMDB:HMDB0000115	HMDB:HMDB0031608
76.027277382	CH4N2O2	HMDB:HMDB0015140
76.034670946	C3H8S	HMDB:HMDB0031238	HMDB:HMDB0031634	HMDB:HMDB0034238
76.0524295	C3H8O2	HMDB:HMDB0001881	HMDB:HMDB0006213
77.029919919	C2H7NS	HMDB:HMDB0002991
77.042495978	C3H9S	HMDB:HMDB0012295
77.987242425	C2H3ClO	HMDB:HMDB0013860
78.013935504	C2H6OS	HMDB:HMDB0002151
78.046950192	C6H6	HMDB:HMDB0001505
78.918337647	Br	HMDB:HMDB0002500
79.042199165	C5H5N	HMDB:HMDB0000926
79.916521828	Se	HMDB:HMDB0001349
79.975441508	CH4S2	HMDB:HMDB0040184
80.002892489	C2H5ClO	HMDB:HMDB0031332
80.037448138	C4H4N2	HMDB:HMDB0003361	HMDB:HMDB0034176
81.057849229	C5H7N	HMDB:HMDB0033113	HMDB:HMDB0033114
81.932171892	H2Se	HMDB:HMDB0011110
81.97246462	H2O3S	HMDB:HMDB0000240	HMDB:HMDB0001033	HMDB:HMDB0034829
81.981980955	H3O3P	HMDB:HMDB0001443
82.041864814	C5H6O	HMDB:HMDB0013749	HMDB:HMDB0031597
82.053098202	C4H6N2	HMDB:HMDB0015344
82.07825032	C6H10	HMDB:HMDB0031544
83.048347175	C3H5N3	HMDB:HMDB0003929
83.073499293	C5H9N	HMDB:HMDB0033529	HMDB:HMDB0040173
